Fold	Label	Score_0	Score
0.0	1.0	0.18	0.82
0.0	1.0	0.16	0.84
0.0	1.0	0.37	0.63
0.0	1.0	0.16	0.84
0.0	1.0	0.24	0.76
0.0	1.0	0.05	0.95
0.0	1.0	0.61	0.39
0.0	1.0	0.2	0.8
0.0	1.0	0.09	0.91
0.0	1.0	0.1	0.9
0.0	1.0	0.01	0.99
0.0	1.0	0.22	0.78
0.0	1.0	0.09	0.91
0.0	1.0	0.03	0.97
0.0	1.0	0.02	0.98
0.0	1.0	0.12	0.88
0.0	1.0	0.12	0.88
0.0	1.0	0.24	0.76
0.0	1.0	0.15	0.85
0.0	1.0	0.26	0.74
0.0	1.0	0.09	0.91
0.0	1.0	0.04	0.96
0.0	1.0	0.02	0.98
0.0	1.0	0.49	0.51
1.0	1.0	0.22	0.78
1.0	1.0	0.03	0.97
1.0	1.0	0.17	0.83
1.0	1.0	0.09	0.91
1.0	1.0	0.16	0.84
1.0	1.0	0.2	0.8
1.0	1.0	0.34	0.66
1.0	1.0	0.06	0.94
1.0	1.0	0.05	0.95
1.0	1.0	0.29	0.71
1.0	1.0	0.27	0.73
1.0	1.0	0.33	0.67
1.0	1.0	0.04	0.96
1.0	1.0	0.92	0.08
1.0	1.0	0.09	0.91
1.0	1.0	0.09	0.91
1.0	1.0	0.21	0.79
1.0	1.0	0.09	0.91
1.0	1.0	0.1	0.9
1.0	1.0	0.2	0.8
1.0	1.0	0.05	0.95
1.0	1.0	0.05	0.95
1.0	1.0	0.09	0.91
1.0	1.0	0.0	1.0
2.0	1.0	0.02	0.98
2.0	1.0	0.06	0.94
2.0	1.0	0.07	0.93
2.0	1.0	0.39	0.61
2.0	1.0	0.13	0.87
2.0	1.0	0.3	0.7
2.0	1.0	0.16	0.84
2.0	1.0	0.46	0.54
2.0	1.0	0.04	0.96
2.0	1.0	0.23	0.77
2.0	1.0	0.19	0.81
2.0	1.0	0.12	0.88
2.0	1.0	0.04	0.96
2.0	1.0	0.12	0.88
2.0	1.0	0.23	0.77
2.0	1.0	0.06	0.94
2.0	1.0	0.06	0.94
2.0	1.0	0.1	0.9
2.0	1.0	0.04	0.96
2.0	1.0	0.43	0.57
2.0	1.0	0.06	0.94
2.0	1.0	0.63	0.37
2.0	1.0	0.58	0.42
2.0	1.0	0.06	0.94
3.0	1.0	0.84	0.16
3.0	1.0	0.04	0.96
3.0	1.0	0.55	0.45
3.0	1.0	0.71	0.29
3.0	1.0	0.04	0.96
3.0	1.0	0.68	0.32
3.0	1.0	0.14	0.86
